3150.2893 12.323
3152.3707 12.320
3154.4520 12.317
3156.5334 12.314
3158.6147 12.311
3160.6961 12.308
3162.7775 12.305
3164.8588 12.302
3166.9402 12.264
3169.0216 12.263
3171.1029 12.277
3173.1843 12.297
3175.2656 12.296
3177.3470 12.269
3179.4284 12.218
3181.5097 12.167
3183.5911 12.146
3185.6725 12.213
3187.7538 12.265
3189.8352 12.272
3191.9165 12.222
3193.9979 12.147
3196.0793 12.123
3198.1606 12.133
3200.2420 12.159
3202.3234 12.172
3204.4047 12.164
3206.4861 12.146
3208.5674 12.131
3210.6488 12.136
3212.7302 12.210
3214.8115 12.204
3216.8929 12.173
3218.9743 12.148
3221.0556 12.136
3223.1370 12.145
3225.2183 12.195
3227.2997 12.269
3229.3811 12.315
3231.4624 12.304
3233.5438 12.248
3235.6252 12.177
3237.7065 12.125
3239.7879 12.134
3241.8692 12.149
3243.9506 12.168
3246.0320 12.177
3248.1133 12.112
3250.1947 12.077
3252.2760 12.083
3254.3574 12.140
3256.4388 12.258
3258.5201 12.332
3260.6015 12.297
3262.6829 12.216
3264.7642 12.164
3266.8456 12.140
3268.9269 12.091
3271.0083 12.056
3273.0897 12.060
3275.1710 12.117
3277.2524 12.206
3279.3338 12.238
3281.4151 12.217
3283.4965 12.200
3285.5778 12.192
3287.6592 12.179
3289.7406 12.168
3291.8219 12.160
3293.9033 12.129
3295.9847 12.080
3298.0660 12.056
3300.1474 12.072
3302.2287 12.088
3304.3101 12.113
3306.3915 12.113
3308.4728 12.103
3310.5542 12.136
3312.6356 12.121
3314.7169 12.106
3316.7983 12.088
3318.8796 12.067
3320.9610 12.123
3323.0424 12.143
3325.1237 12.159
3327.2051 12.179
3329.2864 12.166
3331.3678 12.157
3333.4492 12.150
3335.5305 12.148
3337.6119 12.167
3339.6933 12.152
3341.7746 12.145
3343.8560 12.152
3345.9373 12.174
3348.0187 12.147
3350.1001 12.143
3352.1814 12.133
3354.2628 12.109
3356.3442 12.119
3358.4255 12.127
3360.5069 12.114
3362.5882 12.090
3364.6696 12.080
3366.7510 12.065
3368.8323 12.061
3370.9137 12.105
3372.9951 12.224
3375.0764 12.302
3377.1578 12.281
3379.2391 12.247
3381.3205 12.237
3383.4019 12.199
3385.4832 12.173
3387.5646 12.162
3389.6460 12.153
3391.7273 12.110
3393.8087 12.079
3395.8900 12.066
3397.9714 12.077
3400.0528 12.121
3402.1341 12.214
3404.2155 12.259
3406.2969 12.267
3408.3782 12.250
3410.4596 12.230
3412.5409 12.195
3414.6223 12.150
3416.7037 12.110
3418.7850 12.110
3420.8664 12.183
3422.9477 12.215
3425.0291 12.235
3427.1105 12.280
3429.1918 12.237
3431.2732 12.220
3433.3546 12.218
3435.4359 12.222
3437.5173 12.219
3439.5986 12.212
3441.6800 12.181
3443.7614 12.145
3445.8427 12.152
3447.9241 12.220
3450.0055 12.260
3452.0868 12.253
3454.1682 12.190
3456.2495 12.146
3458.3309 12.144
3460.4123 12.163
3462.4936 12.188
3464.5750 12.188
3466.6564 12.185
3468.7377 12.188
3470.8191 12.206
3472.9004 12.250
3474.9818 12.237
3477.0632 12.219
3479.1445 12.204
3481.2259 12.197
3483.3073 12.198
3485.3886 12.217
3487.4700 12.209
3489.5513 12.162
3491.6327 12.167
3493.7141 12.207
3495.7954 12.240
3497.8768 12.253
3499.9581 12.244
3502.0395 12.218
3504.1209 12.206
3506.2022 12.222
3508.2836 12.270
3510.3650 12.235
3512.4463 12.229
3514.5277 12.224
3516.6090 12.208
3518.6904 12.194
3520.7718 12.222
3522.8531 12.255
3524.9345 12.266
3527.0159 12.213
3529.0972 12.149
3531.1786 12.132
3533.2599 12.152
3535.3413 12.191
