# HeNeAr Line List
#
# CRC Handbook of Chemistry & Physics Third Electronic Edition (81st) 
# http://www.hbcpnetbase.com, Section 10, "Line Spectra of the Elements" 
#
# Lines not found in the CRC were found on NIST at
# http://physics.nist.gov/cgi-bin/AtData/lines_form
#
# Only include Neon lines stronger than 500.
#
# (1) Wavelength [Angstroms in air]; (2) Intensity; (3) quality [GOOD/BLEND/BAD]
# (4) Element and Ionization State
#
# J. Moustakas, 12 January 2003, U of A
# jm04feb4uofa  - better documentation
#
  4892.090  	500     GOOD    NeI    
  4921.9310	20	GOOD	HeI
  4957.0335    1000     GOOD    NeI    
  4965.080	200	GOOD	ArII
  5005.1587 	500     GOOD    NeI    
  5009.334	50	GOOD	ArII
  5015.6776	100	GOOD	HeI
  5017.163	70	GOOD	ArII
  5037.7512 	500     GOOD    NeI    
  5047.7384	10	GOOD	HeI
  5062.037	70	GOOD	ArII
  5141.783     100	GOOD	ArII
  5144.9384 	500     GOOD    NeI    
  5145.011  	500     GOOD    NeI    
  5145.308      70	GOOD	ArII
  5162.285	15	GOOD	ArI
  5187.746	20	GOOD	ArI
  5330.7775 	600     GOOD    NeI    
  5341.0938    1000     GOOD    NeI    
  5343.2834 	600     GOOD    NeI    
  5400.5616    2000     GOOD    NeI    
  5495.874	25	GOOD	ArI
  5558.702	25	GOOD	ArI
  5562.7662 	500     GOOD    NeI    
  5606.733	35	GOOD	ArI
  5650.704      20      GOOD	ArI
  5656.6588 	500     GOOD    NeI    
  5719.2248 	500     GOOD    NeI    
  5748.2985 	500     GOOD    NeI    
  5764.4188 	700     GOOD    NeI    
  5804.4496 	500     GOOD    NeI    
  5820.1558 	500     GOOD    NeI    
  5852.4878    2000     GOOD    NeI    
  5872.8275 	500     GOOD    NeI    
  5875.6251	500	BLEND	HeI  # blended with 5875.97
  5881.8950    1000     GOOD    NeI    
  5888.584      25      GOOD    ArI
  5912.085      50      GOOD    ArI
  5944.8340 	500     GOOD    NeI    
  5965.4710 	500     GOOD    NeI    
  5974.6273 	500     GOOD    NeI    
  5975.5343 	600     GOOD    NeI    
  6029.9968    1000     GOOD    NeI    
  6032.127	70	GOOD	ArI
  6043.223      35      GOOD	ArI
  6052.723 	10	GOOD	ArI      
  6059.372      20      GOOD	ArI
  6074.3376    1000     GOOD    NeI    
  6105.635 	10	GOOD	ArI      
  6114.923     100      GOOD	ArII
  6143.0627    1000     GOOD    NeI    
  6145.441 	10	GOOD	ArI      
  6163.5937    1000     GOOD    NeI    
  6172.278     150      GOOD	ArII
  6173.096 	10	GOOD	ArI      
  6212.503 	10	GOOD	ArI      
  6217.2812    1000     GOOD    NeI    
  6243.120 	25	GOOD	ArII     
  6266.4952    1000     GOOD    NeI    
  6307.657 	15	GOOD	ArI      
  6334.4276    1000     GOOD    NeI    
  6382.9914    1000     GOOD    NeI    
  6384.717 	20	GOOD	ArI      
  6402.2460    2000     GOOD    NeI    
  6416.307	70	GOOD	ArI
  6483.083	25	GOOD	ArII
  6538.112 	15	GOOD	ArI      
  6598.9528    1000     GOOD    NeI    
  6604.853 	15	GOOD	ArI      
  6638.220 	25	GOOD	ArII     
  6639.740 	20	GOOD	ArII     
  6643.698	50	GOOD	ArII
  6666.359 	25	GOOD	ArII     
  6677.282      100     GOOD    ArI
  6678.1517     100     GOOD    HeI
  6678.2766 	500     GOOD    NeI    
  6684.293 	35	GOOD	ArII     
  6752.834	150	GOOD	ArI
  6766.611 	15	GOOD	ArI      
  6861.269 	20	GOOD	ArII     
  6871.289	150	GOOD    ArI
  6888.174 	10	GOOD	ArI      
  6929.4672    1000     GOOD    NeI    
  6937.664	50	GOOD	ArI
  6965.431	10000	GOOD	ArI
  7024.0500 	500     GOOD    NeI    
  7032.4128    1000     GOOD    NeI    
  7065.179      200	GOOD	HeI
  7065.710      30	GOOD	HeI
  7030.251     150	GOOD	ArI      
  7067.217   10000	GOOD	ArI      
  7068.735     100	GOOD	ArI      
  7107.477 	25	GOOD	ArI      
  7125.820 	25	GOOD	ArI      
  7147.041    1000	GOOD	ArI      
  7158.839 	15	GOOD	ArI      
  7173.9380    1000     GOOD    NeI    
  7206.980 	70	GOOD	ArI      
  7245.1665    1000     GOOD    NeI    
  7265.172 	15	GOOD	ArI      
  7272.935    2000	GOOD	ArI      
  7281.351      50	GOOD	HeI
  7311.716 	35	GOOD	ArI      
  7316.005 	25	GOOD	ArI      
  7353.293 	70	GOOD	ArI      
  7372.117     200	GOOD	ArI      
  7380.423 	20	GOOD	ArII     
  7383.980   10000	GOOD	ArI      
  7392.980 	20	GOOD	ArI      
  7412.337 	15	GOOD	ArI      
  7425.294 	10	GOOD	ArI      
  7435.368 	25	GOOD	ArI      
  7436.297 	10	GOOD	ArI      
  7488.8712 	500     GOOD    NeI    
  7503.868   20000	GOOD	ArI      
  7514.651   15000	GOOD	ArI      
