# "== FILTER DATA - LAMBDA 9 SPECTROPHOTOMETER =="
# "   KITT PEAK NATIONAL OBSERVATORY - NOAO"
#  ------------------------------------------------
# "FILTER: MMT UV36                      "
# "DATE: "" 7/26/91"   "TIME: ""14:45: 6"
# " CWL= "  4476.40A  "FWHM= "  206.71A  "TMAX= "***** %
# "TCUTOFF= " 2.00 %   SLIT = 10.0 A
# 
# "ERRMS2: DATA NEVER REACHES HI WAVELENGTH %T CUTOFF"   
# "ERRMS3: CENTRAL WAVELENGTH & FWHM CANNOT BE CALCULATED"         
# 
# "NPTS= " 901     "DISP= "10.0000A/INTERVAL
   5890.00   100.050
   5900.00   100.065
   5910.00   100.095
   5920.00   100.045
   5930.00   100.015
   5940.00   100.050
   5950.00   100.040
   5960.00   100.005
   5970.00   100.040
   5980.00   100.075
   5990.00   100.080
   6000.00   100.070
   6010.00   100.020
   6020.00   100.035
   6030.00   100.005
   6040.00   100.030
   6050.00   100.040
   6060.00   100.030
   6070.00   100.015
   6080.00   100.020
   6090.00   100.050
   6100.00    99.955
   6110.00   100.005
   6120.00    99.975
   6130.00    99.990
   6140.00    99.995
   6150.00    99.960
   6160.00    99.980
   6170.00    99.965
   6180.00    99.940
   6190.00    99.950
   6200.00    99.910
   6210.00    99.940
   6220.00    99.965
   6230.00    99.900
   6240.00    99.925
   6250.00    99.910
   6260.00    99.890
   6270.00    99.885
   6280.00    99.900
   6290.00    99.840
   6300.00    99.870
   6310.00    99.865
   6320.00    99.880
   6330.00    99.790
   6340.00    99.815
   6350.00    99.870
   6360.00    99.820
   6370.00    99.810
   6380.00    99.835
   6390.00    99.805
   6400.00    99.850
   6410.00    99.800
   6420.00    99.795
   6430.00    99.765
   6440.00    99.795
   6450.00    99.720
   6460.00    99.705
   6470.00    99.715
   6480.00    99.700
   6490.00    99.740
   6500.00    99.735
   6510.00    99.690
   6520.00    99.690
   6530.00    99.690
   6540.00    99.645
   6550.00    99.665
   6560.00    99.655
   6570.00    99.610
   6580.00    99.705
   6590.00    99.645
   6600.00    99.670
   6610.00    99.635
   6620.00    99.620
   6630.00    99.555
   6640.00    99.570
   6650.00    99.540
   6660.00    99.530
   6670.00    99.520
   6680.00    99.535
   6690.00    99.510
   6700.00    99.545
   6710.00    99.540
   6720.00    99.470
   6730.00    99.495
   6740.00    99.505
   6750.00    99.505
   6760.00    99.455
   6770.00    99.455
   6780.00    99.445
   6790.00    99.375
   6800.00    99.395
   6810.00    99.365
   6820.00    99.370
   6830.00    99.395
   6840.00    99.385
   6850.00    99.295
   6860.00    99.290
   6870.00    99.365
   6880.00    99.295
   6890.00    99.320
   6900.00    99.325
   6910.00    99.280
   6920.00    99.250
   6930.00    99.275
   6940.00    99.265
   6950.00    99.205
   6960.00    99.230
   6970.00    99.225
   6980.00    99.160
   6990.00    99.170
   7000.00    99.135
   7010.00    99.175
   7020.00    99.170
   7030.00    99.120
   7040.00    99.045
   7050.00    99.020
   7060.00    99.100
   7070.00    99.060
   7080.00    99.065
   7090.00    99.080
   7100.00    99.120
   7110.00    99.055
   7120.00    99.010
   7130.00    99.020
   7140.00    98.965
   7150.00    98.985
   7160.00    98.980
   7170.00    98.945
   7180.00    98.890
   7190.00    98.895
   7200.00    98.905
   7210.00    98.915
   7220.00    98.820
   7230.00    98.835
   7240.00    98.825
   7250.00    98.785
   7260.00    98.845
   7270.00    98.810
   7280.00    98.810
   7290.00    98.750
   7300.00    98.765
   7310.00    98.705
   7320.00    98.745
   7330.00    98.740
   7340.00    98.670
   7350.00    98.620
   7360.00    98.715
   7370.00    98.645
   7380.00    98.730
   7390.00    98.595
   7400.00    98.535
   7410.00    98.550
   7420.00    98.605
   7430.00    98.510
   7440.00    98.480
   7450.00    98.545
   7460.00    98.565
   7470.00    98.520
   7480.00    98.505
   7490.00    98.535
   7500.00    98.515
   7510.00    98.515
   7520.00    98.395
   7530.00    98.440
   7540.00    98.440
   7550.00    98.355
   7560.00    98.355
   7570.00    98.370
